x y z
0.1 4.8 -12.20898435
0.1 4.9 -12.73979005
0.1 5 -13.2566185
0.1 5.1 -13.76132474
0.1 5.2 -14.25551422
0.1 5.3 -14.74055455
0.1 5.4 -15.21759976
0.1 5.5 -15.687622
0.1 5.6 -16.15144256
0.1 5.7 -16.60975851
0.1 5.8 -17.0631646
0.1 5.9 -17.51217103
0.1 6 -17.9572178
0.1 6.1 -18.3986864
0.1 6.2 -18.83690921
0.1 6.3 -19.27217731
0.1 6.4 -19.70474678
0.1 6.5 -20.13484392
0.1 6.6 -20.56266956
0.1 6.7 -20.98840269
0.1 6.8 -21.41220339
0.1 6.9 -21.83421542
0.1 7 -22.25456828
0.1 7.1 -22.67337901
0.1 7.2 -23.09075376
0.1 7.3 -23.50678904
0.1 7.4 -23.92157285
0.1 7.5 -24.33518567
0.1 7.6 -24.74770125
0.1 7.7 -25.15918736
0.1 7.8 -25.56970639
0.1 7.9 -25.97931591
0.1 8 -26.38806916
0.2 -8 1645.351375
0.2 -7.9 1643.534772
0.2 -7.8 1641.71833
0.2 -7.7 1639.900831
0.2 -7.6 1638.081038
0.2 -7.5 1636.257686
0.2 -7.4 1634.429475
0.2 -7.3 1632.595065
0.2 -7.2 1630.753064
0.2 -7.1 1628.902023
0.2 -7 1627.040423
0.2 -6.9 1625.166667
0.2 -6.8 1623.279063
0.2 -6.7 1621.375817
0.2 -6.6 1619.455015
0.2 -6.5 1617.5146
0.2 -6.4 1615.552363
0.2 -6.3 1613.565908
0.2 -6.2 1611.552635
0.2 -6.1 1609.509701
0.2 -6 1607.433992
0.2 -5.9 1605.322072
0.2 -5.8 1603.170137
0.2 -5.7 1600.973957
0.2 -5.6 1598.7288
0.2 -5.5 1596.429346
0.2 -5.4 1594.069591
0.2 -5.3 1591.642709
0.2 -5.2 1589.14091
0.2 -5.1 1586.55524
0.2 -5 1583.875357
0.2 -4.9 1581.089229
0.2 -4.8 1578.182778
0.2 -4.7 1575.139414
0.2 -4.6 1571.939456
0.2 -4.5 1568.55939
0.2 -4.4 1564.970925
0.2 -4.3 1561.139792
0.2 -4.2 1557.024209
0.2 -4.1 1552.572954
0.2 -4 1547.722983
0.2 -3.9 1542.396579
0.2 -3.8 1536.498184
0.2 -3.7 1529.911307
0.2 -3.6 1522.496452
0.2 -3.5 1514.091757
0.2 -3.4 1504.518781
0.2 -3.3 1493.59583
0.2 -3.2 1481.158996
0.2 -3.1 1467.086218
0.2 -3 1451.314753
0.2 -2.9 1433.843089
0.2 -2.8 1414.716285
0.2 -2.7 1394.002652
0.2 -2.6 1371.771888
0.2 -2.5 1348.080408
0.2 -2.4 1322.96427
